first_name,second_name,time,year,distance,time_in_seconds
Analía ,Rosa,9:47.87,2002,3000-metres-steeplechase,587.87
Fatiha ,Bahi Azzouhoum,9:48.97,2004,3000-metres-steeplechase,588.97
Ancuta ,Bobocel,9:49.03,2004,3000-metres-steeplechase,589.03
Lisa ,Nye,9:49.14,2003,3000-metres-steeplechase,589.14
Svetlana ,Ivanova,9:49.24,2004,3000-metres-steeplechase,589.24
Alina ,Proca,9:49.24,2004,3000-metres-steeplechase,589.24
Jana ,Biolková,9:49.40,2003,3000-metres-steeplechase,589.4
Carrie ,Messner-Vickers,9:49.40,2004,3000-metres-steeplechase,589.4
Irene ,Limika,9:49.43,2004,3000-metres-steeplechase,589.43
Ida ,Nilsson,9:49.49,2002,3000-metres-steeplechase,589.49
Analía ,Rosa,9:49.62,2003,3000-metres-steeplechase,589.62
Catalina ,Oprea,9:50.04,2004,3000-metres-steeplechase,590.04
Michaela ,Mannová,9:50.08,2004,3000-metres-steeplechase,590.08
Roisin ,McGettigan,9:50.12,2003,3000-metres-steeplechase,590.12
Tatyana ,Vilisova,9:50.14,2004,3000-metres-steeplechase,590.14
Justyna ,Bak,9:50.27,2004,3000-metres-steeplechase,590.27
Natalya ,Cherepanova,9:50.29,2003,3000-metres-steeplechase,590.29
Xiaofang ,Chen,9:50.88,2003,3000-metres-steeplechase,590.88
Carolyn ,Henry,9:51.16,2002,3000-metres-steeplechase,591.16
Natalya ,Cherepanova,9:51.21,2002,3000-metres-steeplechase,591.21
Lívia ,Tóth,9:51.38,2002,3000-metres-steeplechase,591.38
Patrycja ,Wlodarczyk,9:52.13,2003,3000-metres-steeplechase,592.13
Ekaterina ,Volkova,9:52.40,2000,3000-metres-steeplechase,592.4
Élodie ,Olivarès,9:52.53,2003,3000-metres-steeplechase,592.53
Lisa ,Nye,9:52.61,2002,3000-metres-steeplechase,592.61
Julia ,Budniak,9:52.77,2002,3000-metres-steeplechase,592.77
Letiwe ,Marakurwa,9:52.98,2003,3000-metres-steeplechase,592.98
Irene ,Limika,9:52.99,2003,3000-metres-steeplechase,592.99
Sigrid ,Vanden Bempt,9:53.20,2002,3000-metres-steeplechase,593.2
Anzhelika ,Averkova,9:54.10,2000,3000-metres-steeplechase,594.1
Daniela ,Petrescu,9:54.86,2000,3000-metres-steeplechase,594.86
Molly ,De Francesco,9:56.07,2002,3000-metres-steeplechase,596.07
Melissa ,Rollison,9:56.92,2002,3000-metres-steeplechase,596.92
Luminita ,Gogârlea,9:56.99,2000,3000-metres-steeplechase,596.99
Justyna ,Bak,9:57.03,2000,3000-metres-steeplechase,597.03
Yamina ,Bouchaouante,9:57.17,2002,3000-metres-steeplechase,597.17
Elizabeth ,Jackson,9:57.20,2000,3000-metres-steeplechase,597.2
Jana ,Biolková,9:58.86,2002,3000-metres-steeplechase,598.86
Korene ,Hinds,9:58.9,2002,3000-metres-steeplechase,598.9
Briana ,Shook,9:58.97,2002,3000-metres-steeplechase,598.97
Lisa ,Nye,10:00.63,2000,3000-metres-steeplechase,600.6
Susanne ,Wigene,10:01.54,2000,3000-metres-steeplechase,601.5
Olimpia ,Pop,10:02.60,2000,3000-metres-steeplechase,602.6
Kara ,Ormond,10:03.09,2000,3000-metres-steeplechase,603.0
Courtney ,Meldrum,10:04.41,2000,3000-metres-steeplechase,604.4
Tara ,Haynes,10:04.45,2000,3000-metres-steeplechase,604.4
Céline ,Rajot,10:04.85,2000,3000-metres-steeplechase,604.8
Varvara ,Shestok,10:05.12,2000,3000-metres-steeplechase,605.1
Mériem ,Méréd,10:07.63,2000,3000-metres-steeplechase,607.6
Tara ,Krzywicki,10:08.11,2000,3000-metres-steeplechase,608.1
Véronique ,Bertel,10:08.18,2000,3000-metres-steeplechase,608.1
Élodie ,Olivarès,10:09.64,2000,3000-metres-steeplechase,609.6
Melissa ,Rollison,10:10.73,2000,3000-metres-steeplechase,610.7
Natalya ,Cherepanova,10:11.86,2000,3000-metres-steeplechase,611.8
Mariya ,Vilisova,10:12.07,2000,3000-metres-steeplechase,612.0
Analídia ,Torre,10:12.57,2000,3000-metres-steeplechase,612.5
Chantal ,Dällenbach,10:12.94,2000,3000-metres-steeplechase,612.9
Alina ,Cucerzan,10:13.29,2000,3000-metres-steeplechase,613.2
Tonya ,Dodge,10:13.83,2000,3000-metres-steeplechase,613.8
Leah ,Rogers,10:16.01,2000,3000-metres-steeplechase,616.0
Valerie ,Escot,10:18.70,2000,3000-metres-steeplechase,618.7
Desireé ,Owen,10:18.85,2000,3000-metres-steeplechase,618.8
Sylvie ,Aboulin,10:20.35,2000,3000-metres-steeplechase,620.3
Carla ,Tavares,10:20.91,2000,3000-metres-steeplechase,620.9
Karen ,Murphy,10:21.48,2000,3000-metres-steeplechase,621.4
Rachel ,Penney,10:22.70,2000,3000-metres-steeplechase,622.7
Johanna ,Lehtinen,10:22.76,2000,3000-metres-steeplechase,622.7
Ida ,Nilsson,10:22.92,2000,3000-metres-steeplechase,622.9
Nadezdha ,Trilinskaya,10:23.16,2000,3000-metres-steeplechase,623.1
Kristin ,Ahlepil,10:23.37,2000,3000-metres-steeplechase,623.3
Marina ,Pluzhnikova,10:23.37,2000,3000-metres-steeplechase,623.3
Stephanie ,de Croock,10:23.50,2000,3000-metres-steeplechase,623.5
Sonia ,Agoun,10:23.55,2000,3000-metres-steeplechase,623.5
Emily ,Mulick,10:25.79,2000,3000-metres-steeplechase,625.7
Kerry ,Hils,10:25.85,2000,3000-metres-steeplechase,625.8
Tirunesh ,Dibaba,14:11.15,2008,5000-metres,851.1
Almaz ,Ayana,14:12.59,2016,5000-metres,852.5
Meseret ,Defar,14:12.88,2008,5000-metres,852.8
Almaz ,Ayana,14:14.32,2015,5000-metres,854.3
Genzebe ,Dibaba,14:15.41,2015,5000-metres,855.4
Meseret ,Defar,14:16.63,2007,5000-metres,856.6
Vivian Jepkemoi ,Cheruiyot,14:20.87,2011,5000-metres,860.8
Vivian Jepkemoi ,Cheruiyot,14:22.51,2007,5000-metres,862.5
Tirunesh ,Dibaba,14:23.68,2013,5000-metres,863.6
Liliya ,Shobukhova,14:23.75,2008,5000-metres,863.7
Meseret ,Defar,14:24.53,2006,5000-metres,864.5
Elvan ,Abeylegesse,14:24.68,2004,5000-metres,864.6
Vivian Jepkemoi ,Cheruiyot,14:25.43,2008,5000-metres,865.4
Hellen Onsando ,Obiri,14:25.78,2016,5000-metres,865.7
Almaz ,Ayana,14:25.84,2013,5000-metres,865.8
Vivian Jepkemoi ,Cheruiyot,14:26.17,2016,5000-metres,866.1
Meseret ,Defar,14:26.90,2013,5000-metres,866.9
Vivian Jepkemoi ,Cheruiyot,14:27.41,2010,5000-metres,867.4
Sentayehu ,Ejigu,14:28.39,2010,5000-metres,868.3
Genzebe ,Dibaba,14:28.88,2014,5000-metres,868.8
Meseret ,Defar,14:28.98,2005,5000-metres,868.9
Paula ,Radcliffe,14:29.11,2004,5000-metres,869.1
Almaz ,Ayana,14:29.19,2014,5000-metres,869.1
Berhane ,Adere,14:29.32,2003,5000-metres,869.3
Viola Jelagat ,Kibiwot,14:29.50,2016,5000-metres,869.5
Meseret ,Defar,14:29.52,2011,5000-metres,869.5
Senbere ,Teferi,14:29.82,2016,5000-metres,869.8
Sally Jepkosgei ,Kipyego,14:30.42,2011,5000-metres,870.4
Tirunesh ,Dibaba,14:30.40,2006,5000-metres,870.4
Tirunesh ,Dibaba,14:30.88,2004,5000-metres,870.8
Gete ,Wami,14:30.88,2000,5000-metres,870.8
Berhane ,Adere,14:31.09,2005,5000-metres,871.0
Linet Chepkwemoi ,Masai,14:31.14,2010,5000-metres,871.1
Gelete ,Burka,14:31.20,2007,5000-metres,871.2
Paula ,Radcliffe,14:31.42,2002,5000-metres,871.4
Elvan ,Abeylegesse,14:31.52,2010,5000-metres,871.5
Sentayehu ,Ejigu,14:31.66,2011,5000-metres,871.6
Faith Chepngetich ,Kipyegon,14:31.95,2015,5000-metres,871.9
Meselech ,Melkamu,14:31.91,2010,5000-metres,871.9
Sylvia Jebiwott ,Kibet,14:31.91,2010,5000-metres,871.9
Tirunesh ,Dibaba,14:32.42,2005,5000-metres,872.4
Ejegayehu ,Dibaba,14:32.74,2004,5000-metres,872.7
Linet Chepkwemoi ,Masai,14:32.95,2011,5000-metres,872.9
Werknesh ,Kidane,14:33.04,2003,5000-metres,873.0
Gulnara ,Galkina,14:33.13,2008,5000-metres,873.1
Etenesh ,Diro,14:33.30,2016,5000-metres,873.3
Viola Jelagat ,Kibiwot,14:33.48,2013,5000-metres,873.4
Lucy Wangui ,Kabuu,14:33.49,2008,5000-metres,873.4
Ejegayehu ,Dibaba,14:33.52,2006,5000-metres,873.5
Tirunesh ,Dibaba,14:33.65,2009,5000-metres,873.6
Berhane ,Adere,14:33.65,2002,5000-metres,873.6
Viola Jelagat ,Kibiwot,14:33.73,2014,5000-metres,873.7
Meselech ,Melkamu,14:33.83,2007,5000-metres,873.8
Edith ,Masai,14:33.84,2006,5000-metres,873.8
Mercy ,Cherono,14:33.95,2016,5000-metres,873.9
Tirunesh ,Dibaba,14:34.07,2010,5000-metres,874.0
Mercy ,Cherono,14:34.10,2015,5000-metres,874.1
Meselech ,Melkamu,14:34.17,2009,5000-metres,874.1
Gabriela ,Szabo,14:34.29,2002,5000-metres,874.2
Viola Jelagat ,Kibiwot,14:34.22,2015,5000-metres,874.2
Linet Chepkwemoi ,Masai,14:34.36,2009,5000-metres,874.3
Viola Jelagat ,Kibiwot,14:34.86,2011,5000-metres,874.8
Sentayehu ,Ejigu,14:35.18,2004,5000-metres,875.1
Mercy ,Cherono,14:35.13,2011,5000-metres,875.1
Priscah Jepleting ,Cherono,14:35.30,2006,5000-metres,875.3
Sylvia Jebiwott ,Kibet,14:35.43,2011,5000-metres,875.4
Tirunesh ,Dibaba,14:35.67,2007,5000-metres,875.6
Meseret ,Defar,14:35.65,2012,5000-metres,875.6
Vivian Jepkemoi ,Cheruiyot,14:35.62,2012,5000-metres,875.6
Meseret ,Defar,14:36.38,2009,5000-metres,876.3
Senbere ,Teferi,14:36.44,2015,5000-metres,876.4
Mariem ,Alaoui Selsouli,14:36.52,2007,5000-metres,876.5
Ejegayehu ,Dibaba,14:36.78,2008,5000-metres,876.7
Berhane ,Adere,14:36.92,2004,5000-metres,876.9
Vivian Jepkemoi ,Cheruiyot,14:37.01,2009,5000-metres,877.0
Jessica ,Augusto,14:37.07,2010,5000-metres,877.0
Sally Jepkosgei ,Kipyego,14:37.18,2014,5000-metres,877.1
Edith ,Masai,14:37.20,2005,5000-metres,877.2
Ejegayehu ,Dibaba,14:37.34,2005,5000-metres,877.3
Meselech ,Melkamu,14:37.44,2006,5000-metres,877.4
Genzebe ,Dibaba,14:37.56,2011,5000-metres,877.5
Yasemin ,Can,14:37.61,2016,5000-metres,877.6
Genzebe ,Dibaba,14:37.68,2013,5000-metres,877.6
Sylvia Jebiwott ,Kibet,14:37.77,2009,5000-metres,877.7
Werknesh ,Kidane,14:38.05,2004,5000-metres,878.0
Mariya ,Konovalova,14:38.09,2008,5000-metres,878.0
Isabella Bosibori ,Ochichi,14:38.21,2005,5000-metres,878.2
Wude ,Ayalew,14:38.44,2009,5000-metres,878.4
Sally Jepkosgei ,Kipyego,14:38.64,2010,5000-metres,878.6
Meselech ,Melkamu,14:38.78,2008,5000-metres,878.7
Janet ,Kisa,14:38.70,2016,5000-metres,878.7
Meseret ,Defar,14:38.87,2010,5000-metres,878.8
Shannon ,Rowbury,14:38.92,2016,5000-metres,878.9
Meselech ,Melkamu,14:38.97,2005,5000-metres,878.9
Iness Chepkesis ,Chenonge,14:39.19,2010,5000-metres,879.1
Meselech ,Melkamu,14:39.44,2011,5000-metres,879.4
Betsy ,Saina,14:39.49,2014,5000-metres,879.4
Viola Jelagat ,Kibiwot,14:39.53,2012,5000-metres,879.5
Alice Aprot ,Nawowuna,14:39.56,2016,5000-metres,879.5
Leah Jemeli ,Malot,14:39.83,2000,5000-metres,879.8
Tirunesh ,Dibaba,14:39.94,2003,5000-metres,879.9
Joanne ,Pavey,14:39.96,2006,5000-metres,879.9
Sentayehu ,Ejigu,14:40.00,2009,5000-metres,880.0
Florence Jebet ,Kiplagat,14:40.14,2009,5000-metres,880.1
Mercy ,Cherono,14:40.33,2013,5000-metres,880.3
Meseret ,Defar,14:40.34,2003,5000-metres,880.3
Margaret Wangari ,Muriuki,14:40.48,2013,5000-metres,880.4
Yingjie ,Sun,14:40.41,2002,5000-metres,880.4
Gelete ,Burka,14:40.50,2015,5000-metres,880.5
Gabriela ,Szabo,14:40.61,2000,5000-metres,880.6
Joanne ,Pavey,14:40.71,2005,5000-metres,880.7
Florence Jebet ,Kiplagat,14:40.74,2007,5000-metres,880.7
Priscah Jepleting ,Cherono,14:40.86,2011,5000-metres,880.8
Gelete ,Burka,14:40.92,2006,5000-metres,880.9
Sonia ,O'Sullivan,14:41.02,2000,5000-metres,881.0
Pauline Chemning ,Korikwiang,14:41.28,2011,5000-metres,881.2
Ayelech ,Worku,14:41.23,2000,5000-metres,881.2
Gabriela ,Szabo,14:41.35,2003,5000-metres,881.3
Gelete ,Burka,14:41.43,2012,5000-metres,881.4
Ababel ,Yeshaneh,14:41.58,2016,5000-metres,881.5
Ejegayehu ,Dibaba,14:41.67,2003,5000-metres,881.6
Iness Chepkesis ,Chenonge,14:41.62,2009,5000-metres,881.6
Tirunesh ,Dibaba,14:41.73,2016,5000-metres,881.7
Mariya ,Konovalova,14:42.06,2009,5000-metres,882.0
Ejegayehu ,Dibaba,14:42.06,2009,5000-metres,882.0
Gelete ,Burka,14:42.07,2013,5000-metres,882.0
Priscah Jepleting ,Cherono,14:42.00,2007,5000-metres,882.0
Zhor ,El Kamch,14:42.53,2003,5000-metres,882.5
Belaynesh ,Oljira,14:42.57,2016,5000-metres,882.5
Molly ,Huddle,14:42.64,2014,5000-metres,882.6
Edith ,Masai,14:42.64,2004,5000-metres,882.6
Dera ,Dida,14:42.84,2016,5000-metres,882.8
Olga ,Yegorova,14:42.91,2000,5000-metres,882.9
Mercy ,Cherono,14:43.11,2014,5000-metres,883.1
Sally Jepkosgei ,Kipyego,14:43.11,2012,5000-metres,883.1
Alemitu ,Heroye,14:43.28,2015,5000-metres,883.2
Emebet ,Anteneh,14:43.29,2011,5000-metres,883.2
Irene Chepet ,Cheptai,14:43.42,2016,5000-metres,883.4
Irina ,Mikitenko,14:43.59,2000,5000-metres,883.5
Werknesh ,Kidane,14:43.53,2002,5000-metres,883.5
Alemitu ,Heroye,14:43.58,2016,5000-metres,883.5
Huina ,Xing,14:43.64,2005,5000-metres,883.6
Yelena ,Zadorozhnaya,14:43.89,2008,5000-metres,883.8
Zakia ,Mrisho,14:43.87,2005,5000-metres,883.8
Margaret ,Maury,14:43.90,2004,5000-metres,883.9
Sally Jepkosgei ,Kipyego,14:43.98,2016,5000-metres,883.9
Priscah Jepleting ,Cherono,14:44.00,2005,5000-metres,884.0
Derartu ,Tulu,14:44.22,2003,5000-metres,884.2
Sule ,Utura,14:44.21,2010,5000-metres,884.2
Beylanesh ,Fekadu,14:44.26,2009,5000-metres,884.2
Paula ,Radcliffe,14:44.36,2000,5000-metres,884.3
Derartu ,Tulu,14:44.57,2000,5000-metres,884.5
Betsy ,Saina,14:44.67,2016,5000-metres,884.6
Molly ,Huddle,14:44.76,2010,5000-metres,884.7
Shalane ,Flanagan,14:44.80,2007,5000-metres,884.8
Veronica Nyaruai ,Wanjiru,14:44.82,2012,5000-metres,884.8
Meseret ,Defar,14:44.81,2004,5000-metres,884.8
Emebet ,Anteneh,14:44.90,2010,5000-metres,884.9
Priscah Jepleting ,Cherono,14:45.12,2008,5000-metres,885.1
Shalane ,Flanagan,14:45.20,2011,5000-metres,885.2
Ejegayehu ,Dibaba,14:45.22,2007,5000-metres,885.2
Edith ,Masai,14:45.35,2003,5000-metres,885.3
Regina ,Jacobs,14:45.35,2000,5000-metres,885.3
Letesenbet ,Gidey,14:45.63,2016,5000-metres,885.6
Gelete ,Burka,14:45.84,2008,5000-metres,885.8
Tegla ,Loroupe,14:45.95,2000,5000-metres,885.9
Pauline Chemning ,Korikwiang,14:45.98,2006,5000-metres,885.9
Kimberley ,Smith,14:45.93,2008,5000-metres,885.9
Mariem ,Alaoui Selsouli,14:45.91,2012,5000-metres,885.9
Sule ,Utura,14:46.36,2011,5000-metres,886.3
Dolores ,Checa,14:46.30,2011,5000-metres,886.3
Isabella Bosibori ,Ochichi,14:46.42,2004,5000-metres,886.4
Derartu ,Tulu,14:46.51,2004,5000-metres,886.5
Vivian Jepkemoi ,Cheruiyot,14:46.69,2015,5000-metres,886.6
Sylvia Jebiwott ,Kibet,14:46.73,2012,5000-metres,886.7
Yingjie ,Sun,14:46.73,2003,5000-metres,886.7
Pauline Chemning ,Korikwiang,14:46.80,2010,5000-metres,886.8
Emily Chebet ,Muge,14:46.89,2013,5000-metres,886.8
Beylanesh ,Fekadu,14:46.84,2008,5000-metres,886.8
Isabella Bosibori ,Ochichi,14:46.99,2006,5000-metres,886.9
Sonia ,O'Sullivan,14:46.97,2002,5000-metres,886.9
Alice Jemeli ,Timbilili,14:47.06,2005,5000-metres,887.0
Liliya ,Shobukhova,14:47.07,2005,5000-metres,887.0
Gladys Cherono ,Kiprono,14:47.12,2013,5000-metres,887.1
Linet Chepkwemoi ,Masai,14:47.14,2008,5000-metres,887.1
Mercy ,Cherono,14:47.13,2010,5000-metres,887.1
Mercy ,Cherono,14:47.18,2012,5000-metres,887.1
Margaret Chelimo ,Kipkemboi,14:47.24,2016,5000-metres,887.2
Lydia ,Cheromei,14:47.35,2000,5000-metres,887.3
Werknesh ,Kidane,14:47.40,2000,5000-metres,887.4
Vivian Jepkemoi ,Cheruiyot,14:47.43,2006,5000-metres,887.4
Iness Chepkesis ,Chenonge,14:47.48,2006,5000-metres,887.4
Zahra ,Ouaziz,14:47.45,2003,5000-metres,887.4
Benita ,Willis,14:47.60,2002,5000-metres,887.6
Jelena ,Prokopcuka,14:47.71,2000,5000-metres,887.7
Yamna ,Oubouhou,14:47.79,2000,5000-metres,887.7
Isabella Bosibori ,Ochichi,14:47.70,2003,5000-metres,887.7
Volha ,Krautsova,14:47.75,2005,5000-metres,887.7
Sally Jepkosgei ,Kipyego,14:47.75,2015,5000-metres,887.7
Tatyana ,Tomashova,14:47.85,2002,5000-metres,887.8
Edith ,Masai,14:48.14,2002,5000-metres,888.1
Molly ,Huddle,14:48.14,2016,5000-metres,888.1
Olga ,Yegorova,14:48.29,2002,5000-metres,888.2
Marta ,Domínguez,14:48.33,2003,5000-metres,888.3
Asmae ,Leghzaoui,14:48.31,2000,5000-metres,888.3
Genet ,Yalew,14:48.43,2012,5000-metres,888.4
Susanne ,Wigene,14:48.53,2005,5000-metres,888.5
Viola Jelagat ,Kibiwot,14:48.57,2010,5000-metres,888.5
Joanne ,Pavey,14:48.66,2002,5000-metres,888.6
Shannon ,Rowbury,14:48.68,2014,5000-metres,888.6
Margaret Wangari ,Muriuki,14:48.94,2010,5000-metres,888.9
Ayelech ,Worku,14:48.99,2002,5000-metres,888.9
Berhane ,Adere,14:49.03,2006,5000-metres,889.0
Shalane ,Flanagan,14:49.08,2010,5000-metres,889.0
Joanne ,Pavey,14:49.11,2004,5000-metres,889.1
Irene Kwambai ,Kipchumba,14:49.32,2006,5000-metres,889.3
Hiwot ,Ayalew,14:49.36,2011,5000-metres,889.3
Kimberley ,Smith,14:49.41,2007,5000-metres,889.4
Meraf ,Bahta,14:49.95,2016,5000-metres,889.9
Tirunesh ,Dibaba,14:49.90,2002,5000-metres,889.9
Pauline Chemning ,Korikwiang,14:50.08,2009,5000-metres,890.0
Buze ,Diriba,14:50.02,2013,5000-metres,890.0
Philes Moora ,Ongori,14:50.15,2007,5000-metres,890.1
Workitu ,Ayanu,14:50.15,2007,5000-metres,890.1
Agnes Jebet ,Tirop,14:50.36,2013,5000-metres,890.3
Workitu ,Ayanu,14:50.51,2006,5000-metres,890.5
Grace Kwamboka ,Momanyi,14:50.77,2009,5000-metres,890.7
Tirunesh ,Dibaba,14:50.80,2012,5000-metres,890.8
Irene Chepet ,Cheptai,14:50.99,2013,5000-metres,890.9
Genet ,Yalew,14:51.04,2016,5000-metres,891.0
Sentayehu ,Ejigu,14:51.11,2005,5000-metres,891.1
Yingjie ,Sun,14:51.19,2005,5000-metres,891.1
Gelete ,Burka,14:51.47,2005,5000-metres,891.4
Viola Jelagat ,Kibiwot,14:51.59,2008,5000-metres,891.5
Deena ,Kastor,14:51.62,2000,5000-metres,891.6
Maryam Yusuf ,Jamal,14:51.68,2005,5000-metres,891.6
Yelena ,Zadorozhnaya,14:51.61,2003,5000-metres,891.6
Asmae ,Leghzaoui,14:51.71,2002,5000-metres,891.7
Mestawet ,Tufa,14:51.72,2007,5000-metres,891.7
Liliya ,Shobukhova,14:52.19,2004,5000-metres,892.1
Deena ,Kastor,14:52.21,2007,5000-metres,892.2
Kimberley ,Smith,14:52.49,2009,5000-metres,892.4
Janet ,Kisa,14:52.59,2014,5000-metres,892.5
Alemitu ,Heroye,14:52.67,2014,5000-metres,892.6
Susanne ,Wigene,14:52.68,2006,5000-metres,892.6
Florence Jebet ,Kiplagat,14:52.64,2010,5000-metres,892.6
Berhane ,Adere,14:52.61,2000,5000-metres,892.6
Buze ,Diriba,14:53.06,2012,5000-metres,893.0
Tatyana ,Tomashova,14:53.00,2000,5000-metres,893.0
Alice Jemeli ,Timbilili,14:53.17,2004,5000-metres,893.1
Kayoko ,Fukushi,14:53.22,2005,5000-metres,893.2
Irene Chepet ,Cheptai,14:53.32,2015,5000-metres,893.3
Elvan ,Abeylegesse,14:53.56,2003,5000-metres,893.5
Sally ,Barsosio,14:53.61,2000,5000-metres,893.6
Gulnara ,Galkina,14:53.70,2004,5000-metres,893.7
Sentayehu ,Ejigu,14:53.99,2002,5000-metres,893.9
Linet Chepkwemoi ,Masai,14:53.93,2012,5000-metres,893.9
Stephanie ,Twell,14:54.08,2010,5000-metres,894.0
Eloise ,Wellings,14:54.11,2006,5000-metres,894.1
Priscah Jepleting ,Cherono,14:54.24,2004,5000-metres,894.2
Jennifer ,Rhines,14:54.29,2008,5000-metres,894.2
Gulnara ,Galkina,14:54.38,2003,5000-metres,894.3
Iness Chepkesis ,Chenonge,14:54.43,2005,5000-metres,894.4
Benita ,Willis,14:54.52,2003,5000-metres,894.5
Mimi ,Belete,14:54.71,2015,5000-metres,894.7
Sara ,Moreira,14:54.71,2010,5000-metres,894.7
Courtney ,Babcock,14:54.98,2003,5000-metres,894.9
Marta ,Domínguez,14:54.98,2005,5000-metres,894.9
Kara ,Goucher,14:55.02,2007,5000-metres,895.0
Jennifer ,Rhines,14:55.18,2006,5000-metres,895.1
Kayoko ,Fukushi,14:55.19,2002,5000-metres,895.1
Olga ,Yegorova,14:55.19,2003,5000-metres,895.1
Yelena ,Zadorozhnaya,14:55.31,2004,5000-metres,895.3
Irene ,Jelagat,14:55.49,2015,5000-metres,895.4
Irina ,Mikitenko,14:55.43,2004,5000-metres,895.4
Genzebe ,Dibaba,14:55.52,2009,5000-metres,895.5
Linet Chepkwemoi ,Masai,14:55.50,2007,5000-metres,895.5
Sonia ,O'Sullivan,14:55.50,2003,5000-metres,895.5
Viktoriya ,Klimina,14:55.55,2008,5000-metres,895.5
Lisa ,Uhl,14:55.74,2010,5000-metres,895.7
Dolores ,Checa,14:55.71,2008,5000-metres,895.7
Rose ,Cheruiyot,14:55.88,2000,5000-metres,895.8
Huina ,Xing,14:56.01,2004,5000-metres,896.0
Lucy Wangui ,Kabuu,14:56.09,2006,5000-metres,896.0
Philes Moora ,Ongori,14:56.06,2008,5000-metres,896.0
Marta ,Domínguez,14:56.18,2006,5000-metres,896.1
Jennifer ,Simpson,14:56.26,2013,5000-metres,896.2
Jessica ,Augusto,14:56.39,2007,5000-metres,896.3
Aheza ,Kiros,14:56.33,2009,5000-metres,896.3
Lornah ,Kiplagat,14:56.43,2003,5000-metres,896.4
Liliya ,Shobukhova,14:56.57,2006,5000-metres,896.5
Kimberley ,Smith,14:56.58,2006,5000-metres,896.5
Irina ,Mikitenko,14:56.64,2003,5000-metres,896.6
Irene Kwambai ,Kipchumba,14:56.76,2005,5000-metres,896.7
Amy ,Begley,14:56.72,2010,5000-metres,896.7
Lornah ,Kiplagat,14:56.89,2004,5000-metres,896.8
Daniela ,Yordanova,14:56.95,2000,5000-metres,896.9
Hiwot ,Ayalew,14:57.02,2013,5000-metres,897.0
Lucy Wangui ,Kabuu,14:57.09,2004,5000-metres,897.0
Sule ,Utura,14:57.15,2009,5000-metres,897.1
Molly ,Huddle,14:57.23,2015,5000-metres,897.2
Wude ,Ayalew,14:57.23,2006,5000-metres,897.2
Sylvia Jebiwott ,Kibet,14:57.37,2007,5000-metres,897.3
Gotytom ,Gebreslase,14:57.33,2015,5000-metres,897.3
Elana ,Meyer,14:57.48,2000,5000-metres,897.4
Lucy Wangui ,Kabuu,14:57.55,2007,5000-metres,897.5
Karoline Bjerkeli ,Grøvdal,14:57.53,2016,5000-metres,897.5
Janet ,Kisa,14:57.68,2012,5000-metres,897.6
Kayoko ,Fukushi,14:57.73,2004,5000-metres,897.7
Almaz ,Ayana,14:57.97,2012,5000-metres,897.9
Molly ,Huddle,14:58.15,2013,5000-metres,898.1
Kara ,Goucher,14:58.10,2008,5000-metres,898.1
Sara ,Moreira,14:58.11,2009,5000-metres,898.1
Sylvia Jebiwott ,Kibet,14:58.26,2013,5000-metres,898.2
Azemra ,Gebru,14:58.23,2012,5000-metres,898.2
Joanne ,Pavey,14:58.27,2000,5000-metres,898.2
Zakia ,Mrisho,14:58.36,2008,5000-metres,898.3
Lauren ,Fleshman,14:58.48,2008,5000-metres,898.4
Sonia ,O'Sullivan,14:58.43,2004,5000-metres,898.4
Magdalene Yeko ,Masai,14:58.54,2015,5000-metres,898.5
Jennifer ,Rhines,14:58.51,2007,5000-metres,898.5
Joanne ,Pavey,14:58.62,2008,5000-metres,898.6
Elvan ,Abeylegesse,14:58.79,2008,5000-metres,898.7
Stephanie ,Twell,14:59.00,2016,5000-metres,899.0
Sifan ,Hassan,14:59.23,2014,5000-metres,899.2
Marla ,Runyan,14:59.20,2004,5000-metres,899.2
Nataliya ,Berkut,14:59.26,2004,5000-metres,899.2
Meraf ,Bahta,14:59.49,2014,5000-metres,899.4
Alla ,Zhilyaeva,14:59.46,2004,5000-metres,899.4
Priscah Jepleting ,Cherono,14:59.53,2012,5000-metres,899.5
Maryam Yusuf ,Jamal,14:59.69,2014,5000-metres,899.6
Shalane ,Flanagan,14:59.69,2008,5000-metres,899.6
Sule ,Utura,14:59.74,2013,5000-metres,899.7
Sabrina ,Mockenhaupt,14:59.88,2009,5000-metres,899.8
Susan Chepkemei ,Kapkama,15:00.05,2002,5000-metres,900.0
Sylvia Jebiwott ,Kibet,15:00.03,2008,5000-metres,900.0
Ekaterina ,Volkova,15:00.02,2007,5000-metres,900.0
Agnes Jebet ,Tirop,15:00.19,2014,5000-metres,900.1
Peninah Jepchumba ,Biwott,15:00.26,2008,5000-metres,900.2
Elvan ,Abeylegesse,15:00.49,2002,5000-metres,900.4
Ebru ,Kavaklioglu,15:00.45,2002,5000-metres,900.4
Betsy ,Saina,15:00.48,2015,5000-metres,900.4
Mimi ,Belete,15:00.87,2014,5000-metres,900.8
Elvan ,Abeylegesse,15:00.88,2007,5000-metres,900.8
Leah Jemeli ,Malot,15:00.88,2002,5000-metres,900.8
Inês ,Monteiro,15:01.06,2009,5000-metres,901.0
Afera ,Godfay,15:01.20,2012,5000-metres,901.2
Zhor ,El Kamch,15:01.34,2002,5000-metres,901.3
Molly ,Huddle,15:01.32,2012,5000-metres,901.3
