"first_name","second_name","time","year","distance"
"Maria de Lurdes ","Mutola","1:56.15","2000","800-metres"
"Natalya ","Tsyganova","1:56.60","2000","800-metres"
"Stephanie ","Graf","1:56.64","2000","800-metres"
"Kelly ","Holmes","1:56.80","2000","800-metres"
"Olga ","Raspopova","1:56.85","2000","800-metres"
"Maria de Lurdes ","Mutola","1:56.90","2000","800-metres"
"Maria de Lurdes ","Mutola","1:56.98","2000","800-metres"
"Stephanie ","Graf","1:57.32","2000","800-metres"
"Stephanie ","Graf","1:57.34","2000","800-metres"
"Irina ","Mistyukevich","1:57.49","2000","800-metres"
"Ludmila ","Formanová","1:57.53","2000","800-metres"
"Stephanie ","Graf","1:57.56","2000","800-metres"
"Maria de Lurdes ","Mutola","1:57.65","2000","800-metres"
"Natalya ","Tsyganova","1:57.68","2000","800-metres"
"Olga ","Raspopova","1:57.70","2000","800-metres"
"Ludmila ","Formanová","1:57.72","2000","800-metres"
"Natalya ","Tsyganova","1:57.83","2000","800-metres"
"Olga ","Raspopova","1:57.98","2000","800-metres"
"Irina ","Mistyukevich","1:58.01","2000","800-metres"
"Natalya ","Tsyganova","1:58.04","2000","800-metres"
"Maria de Lurdes ","Mutola","1:58.06","2000","800-metres"
"Regina ","Jacobs","1:58.08","2000","800-metres"
"Suzy ","Favor Hamilton","1:58.10","2000","800-metres"
"Olga ","Raspopova","1:58.30","2000","800-metres"
"Claudia ","Gesell","1:58.34","2000","800-metres"
"Stephanie ","Graf","1:58.39","2000","800-metres"
"Kelly ","Holmes","1:58.45","2000","800-metres"
"Hasna ","Benhassi","1:58.47","2000","800-metres"
"Brigita ","Langerholc","1:58.51","2000","800-metres"
"Irina ","Mistyukevich","1:58.52","2000","800-metres"
"Claudia ","Gesell","1:58.56","2000","800-metres"
"Helena ","Fuchsová","1:58.56","2000","800-metres"
"Stephanie ","Graf","1:58.62","2000","800-metres"
"Letitia ","Vriesde","1:58.62","2000","800-metres"
"Zulia ","Calatayud","1:58.66","2000","800-metres"
"Irina ","Mistyukevich","1:58.69","2000","800-metres"
"Hazel ","Clark","1:58.75","2000","800-metres"
"Marina ","Anisimova","1:58.77","2000","800-metres"
"Helena ","Fuchsová","1:58.82","2000","800-metres"
"Claudia ","Gesell","1:58.83","2000","800-metres"
"Maria de Lurdes ","Mutola","1:58.86","2000","800-metres"
"Olga ","Raspopova","1:58.91","2000","800-metres"
"Hazel ","Clark","1:58.97","2000","800-metres"
"Hazel ","Clark","1:58.97","2000","800-metres"
"Helena ","Fuchsová","1:58.97","2000","800-metres"
"Ludmila ","Formanová","1:58.98","2000","800-metres"
"Hasna ","Benhassi","1:59.01","2000","800-metres"
"Brigita ","Langerholc","1:59.05","2000","800-metres"
"Sandra ","Stals","1:59.09","2000","800-metres"
"Jearl ","Miles Clark","1:59.12","2000","800-metres"
"Jolanda ","Batagelj","1:55.19","2002","800-metres"
"Zulia ","Calatayud","1:56.09","2002","800-metres"
"Maria de Lurdes ","Mutola","1:56.16","2002","800-metres"
"Maria de Lurdes ","Mutola","1:56.25","2002","800-metres"
"Maria de Lurdes ","Mutola","1:57.24","2002","800-metres"
"Maria de Lurdes ","Mutola","1:57.35","2002","800-metres"
"Jolanda ","Batagelj","1:57.63","2002","800-metres"
"Jolanda ","Batagelj","1:57.65","2002","800-metres"
"Jolanda ","Batagelj","1:57.78","2002","800-metres"
"Nicole ","Teter","1:57.97","2002","800-metres"
"Nicole ","Teter","1:58.13","2002","800-metres"
"Maria de Lurdes ","Mutola","1:58.23","2002","800-metres"
"Mayte ","Martínez","1:58.29","2002","800-metres"
"Jearl ","Miles Clark","1:58.41","2002","800-metres"
"Maria de Lurdes ","Mutola","1:58.50","2002","800-metres"
"Zulia ","Calatayud","1:58.51","2002","800-metres"
"Jolanda ","Batagelj","1:58.55","2002","800-metres"
"Maria de Lurdes ","Mutola","1:58.60","2002","800-metres"
"Zulia ","Calatayud","1:58.61","2002","800-metres"
"Jolanda ","Batagelj","1:58.63","2002","800-metres"
"Olga ","Raspopova","1:58.63","2002","800-metres"
"Jolanda ","Batagelj","1:58.64","2002","800-metres"
"Diane ","Cummins","1:58.79","2002","800-metres"
"Diane ","Cummins","1:58.82","2002","800-metres"
"Nicole ","Teter","1:58.83","2002","800-metres"
"Svetlana ","Cherkasova","1:58.84","2002","800-metres"
"Olga ","Raspopova","1:58.84","2002","800-metres"
"Mayte ","Martínez","1:58.86","2002","800-metres"
"Irina ","Mistyukevich","1:58.90","2002","800-metres"
"Sandra ","Stals","1:58.92","2002","800-metres"
"Brigita ","Langerholc","1:58.97","2002","800-metres"
"Ivonne ","Teichmann","1:59.06","2002","800-metres"
"Maria de Lurdes ","Mutola","1:59.06","2002","800-metres"
"Ludmila ","Formanová","1:59.09","2002","800-metres"
"Agnes ","Samaria","1:59.15","2002","800-metres"
"Irina ","Mistyukevich","1:59.19","2002","800-metres"
"Zulia ","Calatayud","1:59.22","2002","800-metres"
"Natallia ","Dziadkova","1:59.24","2002","800-metres"
"Mayte ","Martínez","1:59.24","2002","800-metres"
"Svetlana ","Cherkasova","1:59.26","2002","800-metres"
"Susan ","Scott","1:59.30","2002","800-metres"
"Zulia ","Calatayud","1:59.33","2002","800-metres"
"Irina ","Mistyukevich","1:59.40","2002","800-metres"
"Jolanda ","Batagelj","1:59.42","2002","800-metres"
"Zulia ","Calatayud","1:59.44","2002","800-metres"
"Tsvetelina ","Kirilova","1:59.46","2002","800-metres"
"Diane ","Cummins","1:59.47","2002","800-metres"
"Jolanda ","Batagelj","1:59.52","2002","800-metres"
"Zulia ","Calatayud","1:59.58","2002","800-metres"
"Jolanda ","Batagelj","1:59.61","2002","800-metres"
"Maria de Lurdes ","Mutola","1:55.55","2003","800-metres"
"Maria de Lurdes ","Mutola","1:56.57","2003","800-metres"
"Maria de Lurdes ","Mutola","1:57.21","2003","800-metres"
"Jolanda ","Batagelj","1:57.44","2003","800-metres"
"Maria de Lurdes ","Mutola","1:57.58","2003","800-metres"
"Jolanda ","Batagelj","1:57.76","2003","800-metres"
"Maria de Lurdes ","Mutola","1:57.78","2003","800-metres"
"Jolanda ","Batagelj","1:57.79","2003","800-metres"
"Mina ","Aït Hammou","1:57.82","2003","800-metres"
"Jolanda ","Batagelj","1:57.84","2003","800-metres"
"Maria de Lurdes ","Mutola","1:57.98","2003","800-metres"
"Stephanie ","Graf","1:57.99","2003","800-metres"
"Natalya ","Khrushcheleva","1:58.05","2003","800-metres"
"Natalya ","Khrushcheleva","1:58.07","2003","800-metres"
"Jolanda ","Batagelj","1:58.26","2003","800-metres"
"Jolanda ","Batagelj","1:58.26","2003","800-metres"
"Jolanda ","Batagelj","1:58.30","2003","800-metres"
"Maria de Lurdes ","Mutola","1:58.45","2003","800-metres"
"Svetlana ","Klyuka","1:58.47","2003","800-metres"
"Natalya ","Khrushcheleva","1:58.53","2003","800-metres"
"Jearl ","Miles Clark","1:58.61","2003","800-metres"
"Mina ","Aït Hammou","1:58.66","2003","800-metres"
"Kelly ","Holmes","1:58.69","2003","800-metres"
"Larisa ","Chzhao","1:58.71","2003","800-metres"
"Natalya ","Evdokimova","1:58.75","2003","800-metres"
"Maria de Lurdes ","Mutola","1:58.80","2003","800-metres"
"Mina ","Aït Hammou","1:58.82","2003","800-metres"
"Maria de Lurdes ","Mutola","1:58.82","2003","800-metres"
"Jearl ","Miles Clark","1:58.84","2003","800-metres"
"Kelly ","Holmes","1:58.86","2003","800-metres"
"Diane ","Cummins","1:58.89","2003","800-metres"
"Claudia ","Gesell","1:58.93","2003","800-metres"
"Jolanda ","Batagelj","1:58.99","2003","800-metres"
"Maria de Lurdes ","Mutola","1:59.01","2003","800-metres"
"Stephanie ","Graf","1:59.02","2003","800-metres"
"Svetlana ","Klyuka","1:59.02","2003","800-metres"
"Stephanie ","Graf","1:59.05","2003","800-metres"
"Faith ","Macharia","1:59.23","2003","800-metres"
"Stephanie ","Graf","1:59.26","2003","800-metres"
"Svetlana ","Cherkasova","1:59.28","2003","800-metres"
"Stephanie ","Graf","1:59.32","2003","800-metres"
"Tamsyn ","Manou","1:59.35","2003","800-metres"
"Mina ","Aït Hammou","1:59.37","2003","800-metres"
"Natalya ","Khrushcheleva","1:59.39","2003","800-metres"
"Mina ","Aït Hammou","1:59.39","2003","800-metres"
"Diane ","Cummins","1:59.41","2003","800-metres"
"Diane ","Cummins","1:59.45","2003","800-metres"
"Judit ","Varga","1:59.46","2003","800-metres"
"Diane ","Cummins","1:59.51","2003","800-metres"
"Larisa ","Chzhao","1:59.52","2003","800-metres"
"Tatyana ","Andrianova","1:56.23","2004","800-metres"
"Kelly ","Holmes","1:56.38","2004","800-metres"
"Hasna ","Benhassi","1:56.43","2004","800-metres"
"Jolanda ","Batagelj","1:56.43","2004","800-metres"
"Maria de Lurdes ","Mutola","1:56.51","2004","800-metres"
"Natalya ","Khrushcheleva","1:56.59","2004","800-metres"
"Tatyana ","Andrianova","1:56.88","2004","800-metres"
"Jearl ","Miles Clark","1:57.27","2004","800-metres"
"Natalya ","Lavshuk","1:57.45","2004","800-metres"
"Maria de Lurdes ","Mutola","1:57.47","2004","800-metres"
"Svetlana ","Cherkasova","1:57.50","2004","800-metres"
"Jolanda ","Batagelj","1:57.68","2004","800-metres"
"Tatyana ","Andrianova","1:57.71","2004","800-metres"
"Maria de Lurdes ","Mutola","1:57.72","2004","800-metres"
"Maria de Lurdes ","Mutola","1:57.78","2004","800-metres"
"Olga ","Kotlyarova","1:57.96","2004","800-metres"
"Kelly ","Holmes","1:57.98","2004","800-metres"
"Jolanda ","Batagelj","1:58.00","2004","800-metres"
"Svetlana ","Cherkasova","1:58.02","2004","800-metres"
"Tatyana ","Andrianova","1:58.02","2004","800-metres"
"Jearl ","Miles Clark","1:58.03","2004","800-metres"
"Oksana ","Zbrozhek","1:58.06","2004","800-metres"
"Svetlana ","Cherkasova","1:58.23","2004","800-metres"
"Olga ","Raspopova","1:58.28","2004","800-metres"
"Olga ","Raspopova","1:58.32","2004","800-metres"
"Svetlana ","Cherkasova","1:58.34","2004","800-metres"
"Tatyana ","Andrianova","1:58.41","2004","800-metres"
"Maria de Lurdes ","Mutola","1:58.49","2004","800-metres"
"Nicole ","Teter","1:58.52","2004","800-metres"
"Svetlana ","Cherkasova","1:58.53","2004","800-metres"
"Oksana ","Zbrozhek","1:58.58","2004","800-metres"
"Mayte ","Martínez","1:58.58","2004","800-metres"
"Hasna ","Benhassi","1:58.59","2004","800-metres"
"Jearl ","Miles Clark","1:58.64","2004","800-metres"
"Kelly ","Holmes","1:58.71","2004","800-metres"
"Jearl ","Miles Clark","1:58.71","2004","800-metres"
"Natalya ","Tsyganova","1:58.72","2004","800-metres"
"Natalya ","Tsyganova","1:58.74","2004","800-metres"
"Natalya ","Khrushcheleva","1:58.76","2004","800-metres"
"Jolanda ","Batagelj","1:58.80","2004","800-metres"
"Jolanda ","Batagelj","1:58.80","2004","800-metres"
"Nicole ","Teter","1:58.81","2004","800-metres"
"Nicole ","Teter","1:58.83","2004","800-metres"
"Svetlana ","Cherkasova","1:58.91","2004","800-metres"
"Mina ","Aït Hammou","1:58.92","2004","800-metres"
"Natalya ","Tsyganova","1:58.95","2004","800-metres"
"Maria de Lurdes ","Mutola","1:59.06","2004","800-metres"
"Jearl ","Miles Clark","1:59.06","2004","800-metres"
"Nicole ","Teter","1:59.09","2004","800-metres"
"Hasna ","Benhassi","1:59.11","2004","800-metres"
"Tatyana ","Andrianova","1:56.07","2005","800-metres"
"Tatyana ","Andrianova","1:56.91","2005","800-metres"
"Svetlana ","Cherkasova","1:56.93","2005","800-metres"
"Larisa ","Chzhao","1:57.33","2005","800-metres"
"Svetlana ","Klyuka","1:57.35","2005","800-metres"
"Svetlana ","Cherkasova","1:57.42","2005","800-metres"
"Svetlana ","Cherkasova","1:57.52","2005","800-metres"
"Olga ","Kotlyarova","1:57.55","2005","800-metres"
"Olga ","Kotlyarova","1:57.71","2005","800-metres"
"Tatyana ","Andrianova","1:57.80","2005","800-metres"
"Janeth Jepkosgei ","Busienei","1:57.82","2005","800-metres"
"Svetlana ","Cherkasova","1:57.86","2005","800-metres"
"Zulia ","Calatayud","1:57.92","2005","800-metres"
"Hazel ","Clark","1:57.99","2005","800-metres"
"Zulia ","Calatayud","1:58.07","2005","800-metres"
"Sviatlana ","Usovich","1:58.17","2005","800-metres"
"Larisa ","Chzhao","1:58.35","2005","800-metres"
"Zulia ","Calatayud","1:58.37","2005","800-metres"
"Hasna ","Benhassi","1:58.41","2005","800-metres"
"Svetlana ","Klyuka","1:58.44","2005","800-metres"
"Tatyana ","Andrianova","1:58.46","2005","800-metres"
"Svetlana ","Cherkasova","1:58.47","2005","800-metres"
"Svetlana ","Cherkasova","1:58.58","2005","800-metres"
"Hasna ","Benhassi","1:58.58","2005","800-metres"
"Hazel ","Clark","1:58.59","2005","800-metres"
"Natalya ","Lavshuk","1:58.72","2005","800-metres"
"Zulia ","Calatayud","1:58.81","2005","800-metres"
"Zulia ","Calatayud","1:58.82","2005","800-metres"
"Kenia ","Sinclair","1:58.88","2005","800-metres"
"Zulia ","Calatayud","1:58.95","2005","800-metres"
"Maria de Lurdes ","Mutola","1:58.96","2005","800-metres"
"Hazel ","Clark","1:59.00","2005","800-metres"
"Sviatlana ","Usovich","1:59.05","2005","800-metres"
"Larisa ","Chzhao","1:59.07","2005","800-metres"
"Zulia ","Calatayud","1:59.07","2005","800-metres"
"Maria de Lurdes ","Mutola","1:59.08","2005","800-metres"
"Kenia ","Sinclair","1:59.10","2005","800-metres"
"Janeth Jepkosgei ","Busienei","1:59.15","2005","800-metres"
"Zulia ","Calatayud","1:59.16","2005","800-metres"
"Hasna ","Benhassi","1:59.17","2005","800-metres"
"Hasna ","Benhassi","1:59.18","2005","800-metres"
"Natalya ","Lavshuk","1:59.24","2005","800-metres"
"Zulia ","Calatayud","1:59.25","2005","800-metres"
"Alice ","Schmidt","1:59.29","2005","800-metres"
"Maria de Lurdes ","Mutola","1:59.29","2005","800-metres"
"Hazel ","Clark","1:59.30","2005","800-metres"
"Janeth Jepkosgei ","Busienei","1:59.31","2005","800-metres"
"Zhanna ","Smolina","1:59.33","2005","800-metres"
"Zulia ","Calatayud","1:59.35","2005","800-metres"
"Larisa ","Chzhao","1:59.40","2005","800-metres"
"Janeth Jepkosgei ","Busienei","1:56.66","2006","800-metres"
"Maria de Lurdes ","Mutola","1:56.77","2006","800-metres"
"Zulia ","Calatayud","1:56.91","2006","800-metres"
"Yuliya ","Fomenko","1:57.07","2006","800-metres"
"Janeth Jepkosgei ","Busienei","1:57.07","2006","800-metres"
"Svetlana ","Klyuka","1:57.21","2006","800-metres"
"Janeth Jepkosgei ","Busienei","1:57.22","2006","800-metres"
"Svetlana ","Cherkasova","1:57.23","2006","800-metres"
"Olga ","Kotlyarova","1:57.24","2006","800-metres"
"Elena ","Soboleva","1:57.28","2006","800-metres"
"Tetiana ","Petlyuk","1:57.34","2006","800-metres"
"Maria de Lurdes ","Mutola","1:57.36","2006","800-metres"
"Olga ","Kotlyarova","1:57.38","2006","800-metres"
"Svetlana ","Klyuka","1:57.48","2006","800-metres"
"Olga ","Kotlyarova","1:57.86","2006","800-metres"
"Janeth Jepkosgei ","Busienei","1:57.88","2006","800-metres"
"Kenia ","Sinclair","1:57.88","2006","800-metres"
"Tetiana ","Petlyuk","1:57.91","2006","800-metres"
"Tetiana ","Petlyuk","1:57.93","2006","800-metres"
"Zulia ","Calatayud","1:57.94","2006","800-metres"
"Svetlana ","Cherkasova","1:58.00","2006","800-metres"
"Svetlana ","Cherkasova","1:58.08","2006","800-metres"
"Tetiana ","Petlyuk","1:58.13","2006","800-metres"
"Kenia ","Sinclair","1:58.16","2006","800-metres"
"Elena ","Soboleva","1:58.17","2006","800-metres"
"Zulia ","Calatayud","1:58.18","2006","800-metres"
"Rebecca ","Lyne","1:58.20","2006","800-metres"
"Hasna ","Benhassi","1:58.24","2006","800-metres"
"Mariya ","Dryakhlova","1:58.26","2006","800-metres"
"Natalya ","Tsyganova","1:58.27","2006","800-metres"
"Kenia ","Sinclair","1:58.27","2006","800-metres"
"Svetlana ","Cherkasova","1:58.35","2006","800-metres"
"Kenia ","Sinclair","1:58.38","2006","800-metres"
"Rebecca ","Lyne","1:58.45","2006","800-metres"
"Janeth Jepkosgei ","Busienei","1:58.54","2006","800-metres"
"Svetlana ","Klyuka","1:58.62","2006","800-metres"
"Yuliya ","Fomenko","1:58.62","2006","800-metres"
"Svetlana ","Klyuka","1:58.64","2006","800-metres"
"Kenia ","Sinclair","1:58.64","2006","800-metres"
"Tetiana ","Petlyuk","1:58.65","2006","800-metres"
"Tetiana ","Petlyuk","1:58.66","2006","800-metres"
"Rebecca ","Lyne","1:58.69","2006","800-metres"
"Olga ","Kotlyarova","1:58.69","2006","800-metres"
"Olga ","Kotlyarova","1:58.70","2006","800-metres"
"Hasna ","Benhassi","1:58.71","2006","800-metres"
"Maria de Lurdes ","Mutola","1:58.72","2006","800-metres"
"Svetlana ","Klyuka","1:58.72","2006","800-metres"
"Kenia ","Sinclair","1:58.76","2006","800-metres"
"Maria de Lurdes ","Mutola","1:58.77","2006","800-metres"
"Svetlana ","Klyuka","1:58.80","2006","800-metres"
"Janeth Jepkosgei ","Busienei","1:56.04","2007","800-metres"
"Janeth Jepkosgei ","Busienei","1:56.17","2007","800-metres"
"Janeth Jepkosgei ","Busienei","1:56.29","2007","800-metres"
"Hasna ","Benhassi","1:56.84","2007","800-metres"
"Maria de Lurdes ","Mutola","1:56.98","2007","800-metres"
"Hasna ","Benhassi","1:56.99","2007","800-metres"
"Mayte ","Martínez","1:57.62","2007","800-metres"
"Yuliya ","Krevsun","1:57.63","2007","800-metres"
"Janeth Jepkosgei ","Busienei","1:57.87","2007","800-metres"
"Sviatlana ","Usovich","1:58.11","2007","800-metres"
"Olga ","Kotlyarova","1:58.14","2007","800-metres"
"Mayte ","Martínez","1:58.14","2007","800-metres"
"Maria de Lurdes ","Mutola","1:58.21","2007","800-metres"
"Olga ","Kotlyarova","1:58.22","2007","800-metres"
"Maria de Lurdes ","Mutola","1:58.33","2007","800-metres"
"Brigita ","Langerholc","1:58.41","2007","800-metres"
"Brigita ","Langerholc","1:58.52","2007","800-metres"
"Olga ","Kotlyarova","1:58.56","2007","800-metres"
"Kenia ","Sinclair","1:58.61","2007","800-metres"
"Lucia ","Hrivnák Klocová","1:58.62","2007","800-metres"
"Janeth Jepkosgei ","Busienei","1:58.62","2007","800-metres"
"Svetlana ","Klyuka","1:58.63","2007","800-metres"
"Elisa ","Cusma Piccione","1:58.63","2007","800-metres"
"Kenia ","Sinclair","1:58.67","2007","800-metres"
"Sviatlana ","Usovich","1:58.68","2007","800-metres"
"Alice ","Schmidt","1:58.75","2007","800-metres"
"Marilyn ","Okoro","1:58.76","2007","800-metres"
"Olga ","Kotlyarova","1:58.77","2007","800-metres"
"Maria de Lurdes ","Mutola","1:58.79","2007","800-metres"
"Oksana ","Zbrozhek","1:58.80","2007","800-metres"
"Maria de Lurdes ","Mutola","1:58.80","2007","800-metres"
"Oksana ","Zbrozhek","1:58.84","2007","800-metres"
"Sviatlana ","Usovich","1:58.92","2007","800-metres"
"Lucia ","Hrivnák Klocová","1:58.94","2007","800-metres"
"Janeth Jepkosgei ","Busienei","1:58.95","2007","800-metres"
"Svetlana ","Klyuka","1:58.97","2007","800-metres"
"Janeth Jepkosgei ","Busienei","1:59.0 A","2007","800-metres"
"Janeth Jepkosgei ","Busienei","1:59.03","2007","800-metres"
"Hazel ","Clark","1:59.07","2007","800-metres"
"Kenia ","Sinclair","1:59.11","2007","800-metres"
"Kenia ","Sinclair","1:59.13","2007","800-metres"
"Janeth Jepkosgei ","Busienei","1:59.14","2007","800-metres"
"Treniere ","Moser","1:59.15","2007","800-metres"
"Kenia ","Sinclair","1:59.19","2007","800-metres"
"Elisa ","Cusma Piccione","1:59.22","2007","800-metres"
"Alysia ","Montaño","1:59.29","2007","800-metres"
"Mayte ","Martínez","1:59.29","2007","800-metres"
"Hasna ","Benhassi","1:59.31","2007","800-metres"
"Mayte ","Martínez","1:59.32","2007","800-metres"
"Katie ","Waits","1:59.35","2007","800-metres"
"Pamela ","Jelimo","1:54.01","2008","800-metres"
"Pamela ","Jelimo","1:54.87","2008","800-metres"
"Pamela ","Jelimo","1:54.97","2008","800-metres"
"Pamela ","Jelimo","1:54.99","2008","800-metres"
"Pamela ","Jelimo","1:55.16","2008","800-metres"
"Pamela ","Jelimo","1:55.41","2008","800-metres"
"Pamela ","Jelimo","1:55.69","2008","800-metres"
"Pamela ","Jelimo","1:55.76","2008","800-metres"
"Tatyana ","Andrianova","1:56.00","2008","800-metres"
"Janeth Jepkosgei ","Busienei","1:56.07","2008","800-metres"
"Pamela ","Jelimo","1:56.23","2008","800-metres"
"Svetlana ","Klyuka","1:56.64","2008","800-metres"
"Ekaterina ","Kostetskaya","1:56.67","2008","800-metres"
"Hasna ","Benhassi","1:56.73","2008","800-metres"
"Svetlana ","Klyuka","1:56.94","2008","800-metres"
"Janeth Jepkosgei ","Busienei","1:57.28","2008","800-metres"
"Pamela ","Jelimo","1:57.31","2008","800-metres"
"Yuliya ","Krevsun","1:57.32","2008","800-metres"
"Maria de Lurdes ","Mutola","1:57.68","2008","800-metres"
"Pamela ","Jelimo","1:57.71 A","2008","800-metres"
"Maryam Yusuf ","Jamal","1:57.80","2008","800-metres"
"Mariya ","Shapaeva Zhuravleva","1:57.9","2008","800-metres"
"Tatyana ","Andrianova","1:57.94","2008","800-metres"
"Hasna ","Benhassi","1:58.03","2008","800-metres"
"Yevgeniya ","Zinurova","1:58.04","2008","800-metres"
"Olga ","Kotlyarova","1:58.12","2008","800-metres"
"Janeth Jepkosgei ","Busienei","1:58.15","2008","800-metres"
"Tatyana ","Andrianova","1:58.16","2008","800-metres"
"Ekaterina ","Kostetskaya","1:58.21","2008","800-metres"
"Kenia ","Sinclair","1:58.24","2008","800-metres"
"Janeth Jepkosgei ","Busienei","1:58.26","2008","800-metres"
"Kenia ","Sinclair","1:58.28","2008","800-metres"
"Svetlana ","Klyuka","1:58.31","2008","800-metres"
"Ekaterina ","Kostetskaya","1:58.33","2008","800-metres"
"Tetiana ","Petlyuk","1:58.38","2008","800-metres"
"Janeth Jepkosgei ","Busienei","1:58.41","2008","800-metres"
"Marilyn ","Okoro","1:58.45","2008","800-metres"
"Svetlana ","Klyuka","1:58.50","2008","800-metres"
"Lucia ","Hrivnák Klocová","1:58.51","2008","800-metres"
"Janeth Jepkosgei ","Busienei","1:58.52","2008","800-metres"
"Hasna ","Benhassi","1:58.54","2008","800-metres"
"Maria de Lurdes ","Mutola","1:58.61","2008","800-metres"
"Marilyn ","Okoro","1:58.64","2008","800-metres"
"Maryam Yusuf ","Jamal","1:58.66","2008","800-metres"
"Pamela ","Jelimo","1:58.70 A","2008","800-metres"
"Maria de Lurdes ","Mutola","1:58.71","2008","800-metres"
"Anna ","Rostkowska","1:58.72","2008","800-metres"
"Yuliya ","Krevsun","1:58.73","2008","800-metres"
"Janeth Jepkosgei ","Busienei","1:58.74","2008","800-metres"
"Yuliya ","Krevsun","1:58.75","2008","800-metres"
"Caster ","Semenya","1:55.45","2009","800-metres"
"Caster ","Semenya","1:56.72","2009","800-metres"
"Maggie ","Vessey","1:57.84","2009","800-metres"
"Anna ","Alminova","1:57.86","2009","800-metres"
"Mariya ","Savinova","1:57.90","2009","800-metres"
"Janeth Jepkosgei ","Busienei","1:57.90","2009","800-metres"
"Jennifer ","Meadows","1:57.93","2009","800-metres"
"Yuliya ","Krevsun","1:58.00","2009","800-metres"
"Svetlana ","Klyuka","1:58.23","2009","800-metres"
"Mariya ","Savinova","1:58.39","2009","800-metres"
"Elena ","Kotulskaya","1:58.60","2009","800-metres"
"Yuliya ","Krevsun","1:58.62","2009","800-metres"
"Jennifer ","Meadows","1:58.63","2009","800-metres"
"Caster ","Semenya","1:58.66","2009","800-metres"
"Mariya ","Savinova","1:58.68","2009","800-metres"
"Anna ","Pierce","1:58.80","2009","800-metres"
"Elisa ","Cusma Piccione","1:58.81","2009","800-metres"
"Mayte ","Martínez","1:58.81","2009","800-metres"
"Elena ","Kotulskaya","1:58.94","2009","800-metres"
"Elisa ","Cusma Piccione","1:58.99","2009","800-metres"
"Iuliia ","Stepanova","1:58.99","2009","800-metres"
"Hasna ","Benhassi","1:59.03","2009","800-metres"
"Jemma ","Simpson","1:59.07","2009","800-metres"
"Oksana ","Zbrozhek","1:59.13","2009","800-metres"
"Kenia ","Sinclair","1:59.13","2009","800-metres"
"Nancy Jebet ","Langat","1:59.17","2009","800-metres"
"Tetiana ","Petlyuk","1:59.30","2009","800-metres"
"Ekaterina ","Kostetskaya","1:59.31","2009","800-metres"
"Christin ","Wurth-Thomas","1:59.35","2009","800-metres"
"Pamela ","Jelimo","1:59.49 A","2009","800-metres"
"Marilyn ","Okoro","1:59.56","2009","800-metres"
"Élodie ","Guégan","1:59.57","2009","800-metres"
"Tatyana ","Andrianova","1:59.60","2009","800-metres"
"Anna ","Rostkowska","1:59.77","2009","800-metres"
"Lucia ","Hrivnák Klocová","1:59.79","2009","800-metres"
"Yevgeniya ","Zinurova","1:59.82","2009","800-metres"
"Yevgeniya ","Zolotova","1:59.85","2009","800-metres"
"Hannah ","England","1:59.94","2009","800-metres"
"Hazel ","Clark","1:59.96","2009","800-metres"
"Maryam Yusuf ","Jamal","1:59.98","2009","800-metres"
"Mounia ","Tabessart","1:59.98","2009","800-metres"
"Morgan ","Uceny","2:00.06","2009","800-metres"
"Lenka ","Masná","2:00.10","2009","800-metres"
"Zulia ","Calatayud","2:00.20","2009","800-metres"
"Gulnara ","Galkina","2:00.29","2009","800-metres"
"Nataliia ","Lupu","2:00.32","2009","800-metres"
"Madeleine ","Pape","2:00.34","2009","800-metres"
"Phoebe ","Wright","2:00.40","2009","800-metres"
"Geena ","Lara","2:00.44","2009","800-metres"
"Olha ","Yekymenko","2:00.45","2009","800-metres"
"Alysia ","Montaño","1:57.34","2010","800-metres"
"Mariya ","Savinova","1:57.56","2010","800-metres"
"Nancy Jebet ","Langat","1:57.75","2010","800-metres"
"Janeth Jepkosgei ","Busienei","1:57.84","2010","800-metres"
"Alysia ","Montaño","1:57.85","2010","800-metres"
"Janeth Jepkosgei ","Busienei","1:57.88","2010","800-metres"
"Mariya ","Savinova","1:58.11","2010","800-metres"
"Kenia ","Sinclair","1:58.16","2010","800-metres"
"Caster ","Semenya","1:58.16","2010","800-metres"
"Phoebe ","Wright","1:58.22","2010","800-metres"
"Mariya ","Savinova","1:58.22","2010","800-metres"
"Mariya ","Savinova","1:58.27","2010","800-metres"
"Halima ","Hachlaf","1:58.40","2010","800-metres"
"Elena ","Kotulskaya","1:58.50","2010","800-metres"
"Elena ","Kotulskaya","1:58.56","2010","800-metres"
"Kenia ","Sinclair","1:58.59","2010","800-metres"
"Kenia ","Sinclair","1:58.62","2010","800-metres"
"Mariya ","Savinova","1:58.64","2010","800-metres"
"Morgan ","Uceny","1:58.67","2010","800-metres"
"Hind ","Déhiba Chahyd","1:58.67","2010","800-metres"
"Jemma ","Simpson","1:58.74","2010","800-metres"
"Kenia ","Sinclair","1:58.77","2010","800-metres"
"Kenia ","Sinclair","1:58.78","2010","800-metres"
"Janeth Jepkosgei ","Busienei","1:58.82","2010","800-metres"
"Elena ","Kotulskaya","1:58.83","2010","800-metres"
"Alysia ","Montaño","1:58.84","2010","800-metres"
"Janeth Jepkosgei ","Busienei","1:58.85","2010","800-metres"
"Yvonne ","Hak","1:58.85","2010","800-metres"
"Jennifer ","Meadows","1:58.88","2010","800-metres"
"Jennifer ","Meadows","1:58.89","2010","800-metres"
"Anna ","Pierce","1:58.89","2010","800-metres"
